
     1 = number of bitstrings processed
 173.0 = average number of pharmacophores hit per molecule
   1.6 = percentage of pharmacophores hit at least once (out of 10549)

Pharmacophore hit list:

              p1
             /  \
            /    \
       d2  /      \  d3
          /        \
         /          \
        /            \
      p3 ------------ p2
              d1

 1443 | 2-4.5 |  7-10 |  7-10 | H | X | X |
 1445 | 2-4.5 |  7-10 |  7-10 | H | X | D |
 1446 | 2-4.5 |  7-10 |  7-10 | H | X | H |
 1449 | 2-4.5 |  7-10 |  7-10 | H | X | R |
 1457 | 2-4.5 |  7-10 |  7-10 | H | D | H |
 1460 | 2-4.5 |  7-10 |  7-10 | H | D | R |
 1464 | 2-4.5 |  7-10 |  7-10 | H | H | R |
 1674 | 2-4.5 |  7-10 | 10-14 | D | H | X |
 1676 | 2-4.5 |  7-10 | 10-14 | D | H | D |
 1679 | 2-4.5 |  7-10 | 10-14 | D | H | P |
 1716 | 2-4.5 |  7-10 | 10-14 | H | D | X |
 1719 | 2-4.5 |  7-10 | 10-14 | H | D | H |
 1722 | 2-4.5 |  7-10 | 10-14 | H | D | R |
 3515 | 4.5-7 | 4.5-7 | 4.5-7 | X | X | X |
 3518 | 4.5-7 | 4.5-7 | 4.5-7 | X | X | H |
 3533 | 4.5-7 | 4.5-7 | 4.5-7 | X | H | H |
 3536 | 4.5-7 | 4.5-7 | 4.5-7 | X | H | R |
 3599 | 4.5-7 | 4.5-7 |  7-10 | X | X | X |
 3613 | 4.5-7 | 4.5-7 |  7-10 | X | D | X |
 3620 | 4.5-7 | 4.5-7 |  7-10 | X | H | X |
 3697 | 4.5-7 | 4.5-7 |  7-10 | D | H | X |
 3725 | 4.5-7 | 4.5-7 |  7-10 | H | H | X |
 3746 | 4.5-7 | 4.5-7 |  7-10 | H | R | X |
 3893 | 4.5-7 | 4.5-7 | 10-14 | D | H | X |

